PassengerId,Survived,Sex,Age,SibSp,Parch,Ticket,Fare,Embarked,Pclass
152,1,female,22.0,1,0,113776.0,66.6,S,1
349,1,male,3.0,1,1,236171.0,15.9,S,3
342,1,female,24.0,3,2,19950.0,263.0,S,1
567,0,male,19.0,0,0,349205.0,7.8958,S,3
132,0,male,20.0,0,0,236171.0,7.05,S,3
48,1,female,28.0,0,0,14311.0,7.75,Q,3
655,0,female,18.0,0,0,365226.0,6.75,Q,3
766,1,female,51.0,1,0,13502.0,77.9583,S,1
869,0,male,28.0,0,0,345777.0,9.5,S,3
496,0,male,28.0,0,0,2627.0,14.4583,C,3
878,0,male,19.0,0,0,349212.0,7.8958,S,3
713,1,male,48.0,1,0,19996.0,52.0,S,1
459,1,female,50.0,0,0,236171.0,10.5,S,2
435,0,male,50.0,1,0,13507.0,55.9,S,1
891,0,male,32.0,0,0,370376.0,7.75,Q,3
666,0,male,32.0,2,0,236171.0,73.5,S,2
544,1,male,32.0,1,0,2908.0,26.0,S,2
261,0,male,28.0,0,0,384461.0,7.75,Q,3
507,1,female,33.0,0,2,26360.0,26.0,S,2
570,1,male,32.0,0,0,350417.0,7.8542,S,3
638,0,male,31.0,1,1,236171.0,26.25,S,2
155,0,male,28.0,0,0,236171.0,7.3125,S,3
334,0,male,16.0,2,0,345764.0,18.0,S,3
551,1,male,17.0,0,2,17421.0,110.8833,C,1
560,1,female,36.0,1,0,345572.0,17.4,S,3
720,0,male,33.0,0,0,347062.0,7.775,S,3
139,0,male,16.0,0,0,7534.0,9.2167,S,3
787,1,female,18.0,0,0,3101265.0,7.4958,S,3
35,0,male,28.0,1,0,236171.0,82.1708,C,1
257,1,female,28.0,0,0,236171.0,79.2,C,1
775,1,female,54.0,1,3,29105.0,23.0,S,2
160,0,male,28.0,8,2,236171.0,69.55,S,3
273,1,female,41.0,0,1,250644.0,19.5,S,2
299,1,male,28.0,0,0,19988.0,30.5,S,1
68,0,male,19.0,0,0,236171.0,8.1583,S,3
438,1,female,24.0,2,3,29106.0,18.75,S,2
343,0,male,28.0,0,0,248740.0,13.0,S,2
500,0,male,24.0,0,0,350035.0,7.7958,S,3
751,1,female,4.0,1,1,29103.0,23.0,S,2
205,1,male,18.0,0,0,236171.0,8.05,S,3
646,1,male,48.0,1,0,236171.0,76.7292,C,1
449,1,female,5.0,2,1,2666.0,19.2583,C,3
658,0,female,32.0,1,1,364849.0,15.5,Q,3
734,0,male,23.0,0,0,28425.0,13.0,S,2
618,0,female,26.0,1,0,236171.0,16.1,S,3
51,0,male,7.0,4,1,3101295.0,39.6875,S,3
721,1,female,6.0,0,1,248727.0,33.0,S,2
125,0,male,54.0,0,1,35281.0,77.2875,S,1
682,1,male,27.0,0,0,236171.0,76.7292,C,1
839,1,male,32.0,0,0,1601.0,56.4958,S,3
265,0,female,28.0,0,0,382649.0,7.75,Q,3
418,1,female,18.0,0,2,250652.0,13.0,S,2
849,0,male,28.0,0,1,248727.0,33.0,S,2
772,0,male,48.0,0,0,350047.0,7.8542,S,3
57,1,female,21.0,0,0,236171.0,10.5,S,2
303,0,male,19.0,0,0,236171.0,0.0,S,3
475,0,female,22.0,0,0,7553.0,9.8375,S,3
797,1,female,49.0,0,0,17465.0,25.9292,S,1
207,0,male,32.0,1,0,3101278.0,15.85,S,3
417,1,female,34.0,1,1,28220.0,32.5,S,2
425,0,male,18.0,1,1,370129.0,20.2125,S,3
520,0,male,32.0,0,0,349242.0,7.8958,S,3
131,0,male,33.0,0,0,349241.0,7.8958,C,3
747,0,male,16.0,1,1,236171.0,20.25,S,3
580,1,male,32.0,0,0,236171.0,7.925,S,3
543,0,female,11.0,4,2,347082.0,31.275,S,3
323,1,female,30.0,0,0,234818.0,12.35,Q,2
365,0,male,28.0,1,0,370365.0,15.5,Q,3
292,1,female,19.0,1,0,11967.0,91.0792,C,1
680,1,male,36.0,0,1,236171.0,512.3292,C,1
154,0,male,40.5,0,2,236171.0,14.5,S,3
458,1,female,28.0,1,0,17464.0,51.8625,S,1
513,1,male,36.0,0,0,236171.0,26.2875,S,1
260,1,female,50.0,0,1,230433.0,26.0,S,2
840,1,male,28.0,0,0,11774.0,29.7,C,1
186,0,male,28.0,0,0,113767.0,50.0,S,1
443,0,male,25.0,1,0,347076.0,7.775,S,3
474,1,female,23.0,0,0,236171.0,13.7917,C,2
189,0,male,40.0,1,1,364849.0,15.5,Q,3
107,1,female,21.0,0,0,343120.0,7.65,S,3
613,1,female,28.0,1,0,367230.0,15.5,Q,3
198,0,male,42.0,0,1,4579.0,8.4042,S,3
430,1,male,32.0,0,0,236171.0,8.05,S,3
81,0,male,22.0,0,0,345767.0,9.0,S,3
141,0,female,28.0,0,2,2678.0,15.2458,C,3
305,0,male,28.0,0,0,236171.0,8.05,S,3
11,1,female,4.0,1,1,236171.0,16.7,S,3
421,0,male,28.0,0,0,349254.0,7.8958,C,3
582,1,female,39.0,1,1,17421.0,110.8833,C,1
686,0,male,25.0,1,2,236171.0,41.5792,C,2
663,0,male,47.0,0,0,5727.0,25.5875,S,1
393,0,male,28.0,2,0,3101277.0,7.925,S,3
325,0,male,28.0,8,2,236171.0,69.55,S,3
372,0,male,18.0,1,0,3101267.0,6.4958,S,3
508,1,male,28.0,0,0,111427.0,26.55,S,1
857,1,female,45.0,1,1,36928.0,164.8667,S,1
43,0,male,28.0,0,0,349253.0,7.8958,C,3
825,0,male,2.0,4,1,3101295.0,39.6875,S,3
230,0,female,28.0,3,1,4133.0,25.4667,S,3
846,0,male,42.0,0,0,236171.0,7.55,S,3
820,0,male,10.0,3,2,347088.0,27.9,S,3
483,0,male,50.0,0,0,236171.0,8.05,S,3
708,1,male,42.0,0,0,236171.0,26.2875,S,1
448,1,male,34.0,0,0,113794.0,26.55,S,1
82,1,male,29.0,0,0,345779.0,9.5,S,3
217,1,female,27.0,0,0,236171.0,7.925,S,3
70,0,male,26.0,2,0,315151.0,8.6625,S,3
293,0,male,36.0,0,0,236171.0,12.875,C,2
539,0,male,28.0,0,0,364498.0,14.5,S,3
492,0,male,21.0,0,0,236171.0,7.25,S,3
788,0,male,8.0,4,1,382652.0,29.125,Q,3
288,0,male,22.0,0,0,349206.0,7.8958,S,3
478,0,male,29.0,1,0,3460.0,7.0458,S,3
725,1,male,27.0,1,0,113806.0,53.1,S,1
603,0,male,28.0,0,0,113796.0,42.4,S,1
826,0,male,28.0,0,0,368323.0,6.95,Q,3
258,1,female,30.0,0,0,110152.0,86.5,S,1
555,1,female,22.0,0,0,347085.0,7.775,S,3
499,0,female,25.0,1,2,113781.0,151.55,S,1
748,1,female,30.0,0,0,250648.0,13.0,S,2
240,0,male,33.0,0,0,236171.0,12.275,S,2
294,0,female,24.0,0,0,349236.0,8.85,S,3
501,0,male,17.0,0,0,315086.0,8.6625,S,3
622,1,male,42.0,1,0,11753.0,52.5542,S,1
428,1,female,19.0,0,0,250655.0,26.0,S,2
218,0,male,42.0,1,0,243847.0,27.0,S,2
395,1,female,24.0,0,2,236171.0,16.7,S,3
606,0,male,36.0,1,0,349910.0,15.55,S,3
193,1,female,19.0,1,0,350046.0,7.8542,S,3
472,0,male,38.0,0,0,315089.0,8.6625,S,3
153,0,male,55.5,0,0,236171.0,8.05,S,3
462,0,male,34.0,0,0,364506.0,8.05,S,3
18,1,male,28.0,0,0,244373.0,13.0,S,2
228,0,male,20.5,0,0,236171.0,7.25,S,3
780,1,female,43.0,0,1,24160.0,211.3375,S,1
39,0,female,18.0,2,0,345764.0,18.0,S,3
858,1,male,51.0,0,0,113055.0,26.55,S,1
389,0,male,28.0,0,0,367655.0,7.7292,Q,3
587,0,male,47.0,0,0,237565.0,15.0,S,2
592,1,female,52.0,1,0,36947.0,78.2667,C,1
121,0,male,21.0,2,0,236171.0,73.5,S,2
239,0,male,19.0,0,0,28665.0,10.5,S,2
576,0,male,19.0,0,0,358585.0,14.5,S,3
364,0,male,35.0,0,0,236171.0,7.05,S,3
166,1,male,9.0,0,2,363291.0,20.525,S,3
27,0,male,28.0,0,0,2631.0,7.225,C,3
464,0,male,48.0,0,0,234360.0,13.0,S,2
413,1,female,33.0,1,0,19928.0,90.0,Q,1
29,1,female,28.0,0,0,330959.0,7.8792,Q,3
32,1,female,28.0,1,0,236171.0,146.5208,C,1
852,0,male,74.0,0,0,347060.0,7.775,S,3
866,1,female,42.0,0,0,236852.0,13.0,S,2
61,0,male,22.0,0,0,2669.0,7.2292,C,3
581,1,female,25.0,1,1,237789.0,30.0,S,2
763,1,male,20.0,0,0,2663.0,7.2292,C,3
50,0,female,18.0,1,0,349237.0,17.8,S,3
366,0,male,30.0,0,0,236171.0,7.25,S,3
781,1,female,13.0,0,0,2687.0,7.2292,C,3
137,1,female,19.0,0,2,11752.0,26.2833,S,1
792,0,male,16.0,0,0,239865.0,26.0,S,2
277,0,female,45.0,0,0,347073.0,7.75,S,3
101,0,female,28.0,0,0,349245.0,7.8958,S,3
538,1,female,30.0,0,0,236171.0,106.425,C,1
754,0,male,23.0,0,0,349204.0,7.8958,S,3
753,0,male,33.0,0,0,345780.0,9.5,S,3
119,0,male,24.0,0,1,236171.0,247.5208,C,1
10,1,female,14.0,1,0,237736.0,30.0708,C,2
94,0,male,26.0,1,2,236171.0,20.575,S,3
353,0,male,15.0,1,1,2695.0,7.2292,C,3
886,0,female,39.0,0,5,382652.0,29.125,Q,3
287,1,male,30.0,0,0,345774.0,9.5,S,3
282,0,male,28.0,0,0,347464.0,7.8542,S,3
515,0,male,24.0,0,0,349209.0,7.4958,S,3
249,1,male,37.0,1,1,11751.0,52.5542,S,1
738,1,male,35.0,0,0,236171.0,512.3292,C,1
727,1,female,30.0,3,0,31027.0,21.0,S,2
487,1,female,35.0,1,0,19943.0,90.0,S,1
71,0,male,32.0,0,0,236171.0,10.5,S,2
254,0,male,30.0,1,0,236171.0,16.1,S,3
526,0,male,40.5,0,0,367232.0,7.75,Q,3
884,0,male,28.0,0,0,236171.0,10.5,S,2
79,1,male,0.83,0,2,248738.0,29.0,S,2
705,0,male,26.0,1,0,350025.0,7.8542,S,3
244,0,male,22.0,0,0,236171.0,7.125,S,3
880,1,female,56.0,0,1,11767.0,83.1583,C,1
584,0,male,36.0,0,0,13049.0,40.125,C,1
693,1,male,28.0,0,0,1601.0,56.4958,S,3
643,0,female,2.0,3,2,347088.0,27.9,S,3
396,0,male,22.0,0,0,350052.0,7.7958,S,3
368,1,female,28.0,0,0,2626.0,7.2292,C,3
328,1,female,36.0,0,0,28551.0,13.0,S,2
371,1,male,25.0,1,0,11765.0,55.4417,C,1
206,0,female,2.0,0,1,347054.0,10.4625,S,3
714,0,male,29.0,0,0,7545.0,9.4833,S,3
602,0,male,28.0,0,0,349214.0,7.8958,S,3
204,0,male,45.5,0,0,2628.0,7.225,C,3
793,0,female,28.0,8,2,236171.0,69.55,S,3
451,0,male,36.0,1,2,236171.0,27.75,S,2
65,0,male,28.0,0,0,236171.0,27.7208,C,1
484,1,female,63.0,0,0,4134.0,9.5875,S,3
512,0,male,28.0,0,0,236171.0,8.05,S,3
344,0,male,25.0,0,0,244361.0,13.0,S,2
113,0,male,22.0,0,0,324669.0,8.05,S,3
233,0,male,59.0,0,0,237442.0,13.5,S,2
591,0,male,35.0,0,0,236171.0,7.125,S,3
837,0,male,21.0,0,0,315097.0,8.6625,S,3
429,0,male,28.0,0,0,364851.0,7.75,Q,3
182,0,male,28.0,0,0,236171.0,15.05,C,2
742,0,male,36.0,1,0,19877.0,78.85,S,1
398,0,male,46.0,0,0,28403.0,26.0,S,2
854,1,female,16.0,0,1,236171.0,39.4,S,1
232,0,male,29.0,0,0,347067.0,7.775,S,3
759,0,male,34.0,0,0,363294.0,8.05,S,3
654,1,female,28.0,0,0,330919.0,7.8292,Q,3
90,0,male,24.0,0,0,343275.0,8.05,S,3
138,0,male,37.0,1,0,113803.0,53.1,S,1
56,1,male,28.0,0,0,19947.0,35.5,S,1
574,1,female,28.0,0,0,14312.0,7.75,Q,3
317,1,female,24.0,1,0,244367.0,26.0,S,2
278,0,male,28.0,0,0,239853.0,0.0,S,2
358,0,female,38.0,0,0,237671.0,13.0,S,2
495,0,male,21.0,0,0,236171.0,8.05,S,3
352,0,male,28.0,0,0,113510.0,35.0,S,1
446,1,male,4.0,0,2,33638.0,81.8583,S,1
566,0,male,24.0,2,0,236171.0,24.15,S,3
647,0,male,19.0,0,0,349231.0,7.8958,S,3
784,0,male,28.0,1,2,236171.0,23.45,S,3
83,1,female,28.0,0,0,330932.0,7.7875,Q,3
378,0,male,27.0,0,2,113503.0,211.5,C,1
746,0,male,70.0,1,1,236171.0,71.0,S,1
72,0,female,16.0,5,2,236171.0,46.9,S,3
636,1,female,28.0,0,0,237668.0,13.0,S,2
362,0,male,29.0,1,0,236171.0,27.7208,C,2
312,1,female,18.0,2,2,236171.0,262.375,C,1
703,0,female,18.0,0,1,2691.0,14.4542,C,3
445,1,male,28.0,0,0,65306.0,8.1125,S,3
571,1,male,62.0,0,0,236171.0,10.5,S,2
106,0,male,28.0,0,0,349207.0,7.8958,S,3
89,1,female,23.0,3,2,19950.0,263.0,S,1
80,1,female,30.0,0,0,364516.0,12.475,S,3
610,1,female,40.0,0,0,236171.0,153.4625,S,1
575,0,male,16.0,0,0,236171.0,8.05,S,3
687,0,male,14.0,4,1,3101295.0,39.6875,S,3
122,0,male,28.0,0,0,236171.0,8.05,S,3
375,0,female,3.0,3,1,349909.0,21.075,S,3
399,0,male,23.0,0,0,244278.0,10.5,S,2
798,1,female,31.0,0,0,349244.0,8.6833,S,3
454,1,male,49.0,1,0,17453.0,89.1042,C,1
597,1,female,28.0,0,0,248727.0,33.0,S,2
816,0,male,28.0,0,0,112058.0,0.0,S,1
432,1,female,28.0,1,0,376564.0,16.1,S,3
752,1,male,6.0,0,1,392096.0,12.475,S,3
879,0,male,28.0,0,0,349217.0,7.8958,S,3
167,1,female,28.0,0,1,113505.0,55.0,S,1
302,1,male,28.0,2,0,367226.0,23.25,Q,3
465,0,male,28.0,0,0,236171.0,8.05,S,3
836,1,female,39.0,1,1,236171.0,83.1583,C,1
481,0,male,9.0,5,2,236171.0,46.9,S,3
367,1,female,60.0,1,0,110813.0,75.25,C,1
286,0,male,33.0,0,0,349239.0,8.6625,C,3
528,0,male,28.0,0,0,236171.0,221.7792,S,1
46,0,male,28.0,0,0,236171.0,8.05,S,3
873,0,male,33.0,0,0,695.0,5.0,S,1
716,0,male,19.0,0,0,348124.0,7.65,S,3
649,0,male,28.0,0,0,236171.0,7.55,S,3
546,0,male,64.0,0,0,693.0,26.0,S,1
767,0,male,28.0,0,0,112379.0,39.6,C,1
625,0,male,21.0,0,0,54636.0,16.1,S,3
15,0,female,14.0,0,0,350406.0,7.8542,S,3
702,1,male,35.0,0,0,236171.0,26.2875,S,1
547,1,female,19.0,1,0,2908.0,26.0,S,2
707,1,female,45.0,0,0,223596.0,13.5,S,2
63,0,male,45.0,1,0,36973.0,83.475,S,1
568,0,female,29.0,0,4,349909.0,21.075,S,3
779,0,male,28.0,0,0,36865.0,7.7375,Q,3
652,1,female,18.0,0,1,231919.0,23.0,S,2
595,0,male,37.0,1,0,236171.0,26.0,S,2
397,0,female,31.0,0,0,350407.0,7.8542,S,3
133,0,female,47.0,1,0,236171.0,14.5,S,3
540,1,female,22.0,0,2,13568.0,49.5,C,1
280,1,female,35.0,1,1,236171.0,20.25,S,3
679,0,female,43.0,1,6,236171.0,46.9,S,3
74,0,male,26.0,1,0,2680.0,14.4542,C,3
644,1,male,28.0,0,0,1601.0,56.4958,S,3
36,0,male,42.0,1,0,113789.0,52.0,S,1
403,0,female,21.0,1,0,4137.0,9.825,S,3
460,0,male,28.0,0,0,371060.0,7.75,Q,3
321,0,male,22.0,0,0,236171.0,7.25,S,3
271,0,male,28.0,0,0,113798.0,31.0,S,1
47,0,male,28.0,1,0,370371.0,15.5,Q,3
76,0,male,25.0,0,0,348123.0,7.65,S,3
340,0,male,45.0,0,0,113784.0,35.5,S,1
609,1,female,22.0,1,2,236171.0,41.5792,C,2
126,1,male,12.0,1,0,2651.0,11.2417,C,3
778,1,female,5.0,0,0,364516.0,12.475,S,3
143,1,female,24.0,1,0,236171.0,15.85,S,3
623,1,male,20.0,1,1,2653.0,15.7417,C,3
270,1,female,35.0,0,0,236171.0,135.6333,S,1
174,0,male,21.0,0,0,236171.0,7.925,S,3
831,1,female,15.0,1,0,2659.0,14.4542,C,3
704,0,male,25.0,0,0,36864.0,7.7417,Q,3
761,0,male,28.0,0,0,358585.0,14.5,S,3
201,0,male,28.0,0,0,345770.0,9.5,S,3
234,1,female,5.0,4,2,347077.0,31.3875,S,3
669,0,male,43.0,0,0,236171.0,8.05,S,3
541,1,female,36.0,0,2,236171.0,71.0,S,1
356,0,male,28.0,0,0,345783.0,9.5,S,3
136,0,male,23.0,0,0,236171.0,15.0458,C,2
104,0,male,33.0,0,0,7540.0,8.6542,S,3
689,0,male,18.0,0,0,350036.0,7.7958,S,3
159,0,male,28.0,0,0,315037.0,8.6625,S,3
579,0,female,28.0,1,0,2689.0,14.4583,C,3
23,1,female,15.0,0,0,330923.0,8.0292,Q,3
315,0,male,43.0,1,1,236171.0,26.25,S,2
144,0,male,19.0,0,0,365222.0,6.75,Q,3
253,0,male,62.0,0,0,113514.0,26.55,S,1
52,0,male,21.0,0,0,236171.0,7.8,S,3
718,1,female,27.0,0,0,34218.0,10.5,S,2
314,0,male,28.0,0,0,349243.0,7.8958,S,3
38,0,male,21.0,0,0,236171.0,8.05,S,3
322,0,male,27.0,0,0,349219.0,7.8958,S,3
489,0,male,30.0,0,0,236171.0,8.05,S,3
828,1,male,1.0,0,2,236171.0,37.0042,C,2
296,0,male,28.0,0,0,236171.0,27.7208,C,1
745,1,male,31.0,0,0,236171.0,7.925,S,3
385,0,male,28.0,0,0,349227.0,7.8958,S,3
532,0,male,28.0,0,0,2641.0,7.2292,C,3
86,1,female,33.0,3,0,3101278.0,15.85,S,3
263,0,male,52.0,1,1,110413.0,79.65,S,1
135,0,male,25.0,0,0,236171.0,13.0,S,2
31,0,male,40.0,0,0,236171.0,27.7208,C,1
845,0,male,17.0,0,0,315090.0,8.6625,S,3
440,0,male,31.0,0,0,236171.0,10.5,S,2
162,1,female,40.0,0,0,236171.0,15.75,S,2
16,1,female,55.0,0,0,248706.0,16.0,S,2
803,1,male,11.0,1,2,113760.0,120.0,S,1
511,1,male,29.0,0,0,382651.0,7.75,Q,3
444,1,female,28.0,0,0,230434.0,13.0,S,2
661,1,male,50.0,2,0,236171.0,133.65,S,1
890,1,male,26.0,0,0,111369.0,30.0,C,1
768,0,female,30.5,0,0,364850.0,7.75,Q,3
811,0,male,26.0,0,0,3474.0,7.8875,S,3
588,1,male,60.0,1,1,13567.0,79.2,C,1
21,0,male,35.0,0,0,239865.0,26.0,S,2
514,1,female,54.0,1,0,236171.0,59.4,C,1
22,1,male,34.0,0,0,248698.0,13.0,S,2
662,0,male,40.0,0,0,2623.0,7.225,C,3
807,0,male,39.0,0,0,112050.0,0.0,S,1
202,0,male,28.0,8,2,236171.0,69.55,S,3
786,0,male,25.0,0,0,374887.0,7.25,S,3
14,0,male,39.0,1,5,347082.0,31.275,S,3
482,0,male,28.0,0,0,239854.0,0.0,S,2
675,0,male,28.0,0,0,239856.0,0.0,S,2
535,0,female,30.0,0,0,315084.0,8.6625,S,3
203,0,male,34.0,0,0,3101264.0,6.4958,S,3
318,0,male,54.0,0,0,29011.0,14.0,S,2
34,0,male,66.0,0,0,236171.0,10.5,S,2
558,0,male,28.0,0,0,236171.0,227.525,C,1
262,1,male,3.0,4,2,347077.0,31.3875,S,3
617,0,male,34.0,1,1,347080.0,14.4,S,3
628,1,female,21.0,0,0,13502.0,77.9583,S,1
503,0,female,28.0,0,0,330909.0,7.6292,Q,3
769,0,male,28.0,1,0,371110.0,24.15,Q,3
723,0,male,34.0,0,0,12233.0,13.0,S,2
165,0,male,1.0,4,1,3101295.0,39.6875,S,3
726,0,male,20.0,0,0,315094.0,8.6625,S,3
876,1,female,15.0,0,0,2667.0,7.225,C,3
697,0,male,44.0,0,0,363592.0,8.05,S,3
266,0,male,36.0,0,0,236171.0,10.5,S,2
533,0,male,17.0,1,1,2690.0,7.2292,C,3
457,0,male,65.0,0,0,13509.0,26.55,S,1
105,0,male,37.0,2,0,3101276.0,7.925,S,3
110,1,female,28.0,1,0,371110.0,24.15,Q,3
630,0,male,28.0,0,0,334912.0,7.7333,Q,3
75,1,male,32.0,0,0,1601.0,56.4958,S,3
565,0,female,28.0,0,0,236171.0,8.05,S,3
835,0,male,18.0,0,0,2223.0,8.3,S,3
406,0,male,34.0,1,0,28664.0,21.0,S,2
424,0,female,28.0,1,1,347080.0,14.4,S,3
224,0,male,28.0,0,0,349234.0,7.8958,S,3
433,1,female,42.0,1,0,236171.0,26.0,S,2
59,1,female,5.0,1,2,236171.0,27.75,S,2
755,1,female,48.0,1,2,220845.0,65.0,S,2
199,1,female,28.0,0,0,370370.0,7.75,Q,3
692,1,female,4.0,0,1,349256.0,13.4167,C,3
1,0,male,22.0,1,0,236171.0,7.25,S,3
347,1,female,40.0,0,0,31418.0,13.0,S,2
834,0,male,23.0,0,0,347468.0,7.8542,S,3
771,0,male,24.0,0,0,345781.0,9.5,S,3
187,1,female,28.0,1,0,370365.0,15.5,Q,3
739,0,male,28.0,0,0,349201.0,7.8958,S,3
690,1,female,15.0,0,1,24160.0,211.3375,S,1
789,1,male,1.0,1,2,236171.0,20.575,S,3
44,1,female,3.0,1,2,236171.0,41.5792,C,2
760,1,female,33.0,0,0,110152.0,86.5,S,1
310,1,female,30.0,0,0,236171.0,56.9292,C,1
642,1,female,24.0,0,0,236171.0,69.3,C,1
627,0,male,57.0,0,0,219533.0,12.35,Q,2
12,1,female,58.0,0,0,113783.0,26.55,S,1
733,0,male,28.0,0,0,239855.0,0.0,S,2
111,0,male,47.0,0,0,110465.0,52.0,S,1
102,0,male,28.0,0,0,349215.0,7.8958,S,3
758,0,male,18.0,0,0,29108.0,11.5,S,2
633,1,male,32.0,0,0,13214.0,30.5,C,1
585,0,male,28.0,0,0,3411.0,8.7125,C,3
744,0,male,24.0,1,0,376566.0,16.1,S,3
208,1,male,26.0,0,0,2699.0,18.7875,C,3
665,1,male,20.0,1,0,236171.0,7.925,S,3
601,1,female,24.0,2,1,243847.0,27.0,S,2
848,0,male,35.0,0,0,349213.0,7.8958,C,3
667,0,male,25.0,0,0,234686.0,13.0,S,2
599,0,male,28.0,0,0,2664.0,7.225,C,3
651,0,male,28.0,0,0,349221.0,7.8958,S,3
308,1,female,17.0,1,0,236171.0,108.9,C,1
593,0,male,47.0,0,0,236171.0,7.25,S,3
477,0,male,34.0,1,0,31027.0,21.0,S,2
700,0,male,42.0,0,0,348121.0,7.65,S,3
855,0,female,44.0,1,0,244252.0,26.0,S,2
404,0,male,28.0,1,0,236171.0,15.85,S,3
200,0,female,24.0,0,0,248747.0,13.0,S,2
684,0,male,14.0,5,2,236171.0,46.9,S,3
264,0,male,40.0,0,0,112059.0,0.0,S,1
411,0,male,28.0,0,0,349222.0,7.8958,S,3
391,1,male,36.0,1,2,113760.0,120.0,S,1
237,0,male,44.0,1,0,26707.0,26.0,S,2
589,0,male,22.0,0,0,14973.0,8.05,S,3
554,1,male,22.0,0,0,2620.0,7.225,C,3
346,1,female,24.0,0,0,248733.0,13.0,S,2
476,0,male,28.0,0,0,110465.0,52.0,S,1
33,1,female,28.0,0,0,335677.0,7.75,Q,3
770,0,male,32.0,0,0,8471.0,8.3625,S,3
640,0,male,28.0,1,0,376564.0,16.1,S,3
871,0,male,26.0,0,0,349248.0,7.8958,S,3
181,0,female,28.0,8,2,236171.0,69.55,S,3
223,0,male,51.0,0,0,21440.0,8.05,S,3
195,1,female,44.0,0,0,236171.0,27.7208,C,1
188,1,male,45.0,0,0,111428.0,26.55,S,1
865,0,male,24.0,0,0,233866.0,13.0,S,2
60,0,male,11.0,5,2,236171.0,46.9,S,3
386,0,male,18.0,0,0,236171.0,73.5,S,2
750,0,male,31.0,0,0,335097.0,7.75,Q,3
732,0,male,11.0,0,0,2699.0,18.7875,C,3
77,0,male,28.0,0,0,349208.0,7.8958,S,3
815,0,male,30.5,0,0,364499.0,8.05,S,3
3,1,female,26.0,0,0,236171.0,7.925,S,3
